"","hitter","launch_angle","exit_velo","BIP","single","double","triple","home_run","woba","woba_bip","whiff_rate","foul_percent","strikeout_percent"
"382","Miller, Brad",14,108.560268540342,761,162,44,8,45,0.320700636942675,0.406044678055191,0.313452914798206,0.345291479820628,0.28537170263789
"383","Choi, Ji-Man",14,108.014816055389,710,151,61,4,42,0.370955574182733,0.435,0.28,0.365,0.242424242424242
"384","Goodrum, Niko",14,106.88057682182,703,144,57,8,35,0.315329391891892,0.417567567567568,0.323671497584541,0.367588932806324,0.310753598645216
"385","Bethancourt, Christian",14,108.471136060561,378,73,28,0,18,0.295065176908752,0.376587301587302,0.333648393194707,0.309073724007561,0.249063670411985
"386","Contreras, Willson",14,110.81260796594,1460,292,108,8,104,0.371142109851787,0.442191780821918,0.288498556304139,0.360202117420597,0.234729493891798
"387","Mountcastle, Ryan",14,108.716418846292,869,175,62,4,59,0.332724384432089,0.420828538550058,0.276331130975515,0.385930820054411,0.247611464968153
"388","Cronenworth, Jake",14,105.583201083735,1014,200,67,15,41,0.345065562456867,0.376429980276134,0.154371002132196,0.413219616204691,0.183206106870229
"389","Kipnis, Jason",14,103.346974017321,869,150,56,3,34,0.306058091286307,0.334177215189873,0.204633204633205,0.375965250965251,0.185369908561929
"390","Reyes, Franmil",14,110.473372389718,927,214,52,5,76,0.342196918955124,0.458252427184466,0.336644200070947,0.334515785739624,0.295302013422819
"391","Profar, Jurickson",14,104.538167916418,1619,282,109,11,52,0.315750996898538,0.326034589252625,0.182908912830558,0.420666013712047,0.163628279235216
"392","Senzel, Nick",14,105.093826555369,721,155,44,5,22,0.319093539054966,0.361858529819695,0.219442865264355,0.369528140989198,0.20666013712047
"393","Ford, Mike",14,105.414714565396,328,50,20,0,28,0.341439688715953,0.400609756097561,0.251012145748988,0.306342780026991,0.237816764132554
"394","Dalbec, Bobby",14,109.187227265851,398,81,26,9,27,0.314606741573034,0.450251256281407,0.371851851851852,0.333333333333333,0.351123595505618
"395","Solak, Nick",14,106.289288918681,407,89,18,2,21,0.332367149758454,0.391891891891892,0.251479289940828,0.347140039447732,0.235483870967742
"396","Ruiz, Keibert",14,103.957698659571,641,129,39,0,19,0.317689295039164,0.320670826833073,0.128805620608899,0.37080405932865,0.0926892950391645
"397","Kirilloff, Alex",14,105.256712527193,380,90,28,1,10,0.313250883392226,0.376315789473684,0.24282982791587,0.393881453154876,0.24468085106383
"398","Brown, Seth",14,108.749139627563,597,99,46,5,46,0.323983315954119,0.41608040201005,0.314174107142857,0.352678571428571,0.287799791449426
"399","Miranda, Jose",14,106.811997660328,417,87,25,0,18,0.33475499092559,0.368465227817746,0.231800766283525,0.368773946360153,0.163339382940109
"400","Robert Jr., Luis",14,110.485029244496,472,100,43,0,39,0.383773861967695,0.486970338983051,0.292207792207792,0.367243867243867,0.242603550295858
"401","Tovar, Ezequiel",14,106.500065545803,305,71,25,2,14,0.337759815242494,0.429016393442623,0.280087527352298,0.386214442013129,0.244803695150115
"402","Gamel, Ben",15,105.513705297983,1017,221,78,14,32,0.319128787878788,0.389675516224189,0.224428624953166,0.394529786436868,0.257124762507916
"403","Bird, Greg",15,103.979406389545,410,68,28,2,30,0.347953216374269,0.406341463414634,0.299289520426288,0.336589698046181,0.248164464023495
"404","Hundley, Nick",15,106.562134142705,429,88,42,3,23,0.340094339622642,0.442191142191142,0.255912162162162,0.381756756756757,0.264984227129338
"405","Dietrich, Derek",15,108.30559444968,725,143,49,6,46,0.345466666666667,0.409586206896552,0.24456259062349,0.405509908168197,0.241777777777778
"406","Holt, Brock",15,102.251404898606,635,141,55,7,9,0.339104638619202,0.368267716535433,0.169906407487401,0.372930165586753,0.193096008629989
"407","Cervelli, Francisco",15,105.386608515453,508,109,29,6,23,0.349936061381074,0.389862204724409,0.24220623501199,0.35171862509992,0.211267605633803
"408","Harrison, Josh",15,102.489570581573,1341,291,89,7,34,0.321927374301676,0.346718866517524,0.20393343419062,0.390317700453858,0.161633109619687
"409","Szczur, Matt",15,104.349733977208,244,42,11,3,8,0.295857142857143,0.303893442622951,0.208409506398537,0.345521023765996,0.185714285714286
"410","Riley, Austin",15,110.596434365369,1147,258,80,2,90,0.364116985376828,0.461900610287707,0.280892103676914,0.373417721518987,0.259572072072072
"411","Peterson, Jace",15,105.401832819462,839,177,50,8,19,0.300038051750381,0.33057210965435,0.262232779097387,0.339192399049881,0.233231707317073
"412","Inciarte, Ender",15,100.163739100221,1152,279,57,8,24,0.321491228070175,0.338845486111111,0.139947189739721,0.425499811391928,0.139676113360324
"413","Pederson, Joc",15,110.204673742767,1396,238,95,10,123,0.363920187793427,0.433918338108883,0.252704791344668,0.38768675940237,0.230009407337723
"414","Alonso, Yonder",15,106.614732906211,816,162,45,0,60,0.353912685337727,0.409007352941176,0.244159413650939,0.382043060009162,0.213696369636964
"415","Thaiss, Matt",15,106.573051024377,317,74,20,0,17,0.333589251439539,0.404731861198738,0.291574279379157,0.356984478935698,0.265384615384615
"416","Urena, Richard",15,101.520847164018,214,56,17,1,2,0.293384615384615,0.373598130841121,0.309810671256454,0.321858864027539,0.269349845201238
"417","Aguilar, Jesús",15,107.663933754089,1128,251,72,2,78,0.358767205266308,0.425975177304965,0.251076515402451,0.374627360052998,0.223493975903614
"418","Mahtook, Mikie",15,105.642890650071,392,71,17,6,19,0.289800995024876,0.354719387755102,0.255340793489318,0.34587995930824,0.264559068219634
"419","Freeman, Mike",15,98.6309562278318,232,58,15,0,7,0.307047872340426,0.373922413793103,0.253682487725041,0.366612111292962,0.274666666666667
"420","Allen, Greg",15,104.02765431872,504,101,30,11,13,0.315821094793057,0.359623015873016,0.236820762368208,0.354420113544201,0.221628838451268
"421","Cron, C.J.",15,111.191151357759,1554,321,119,8,111,0.359340899170668,0.443725868725869,0.256782039289055,0.37956033676333,0.238845144356955
"422","Descalso, Daniel",15,103.405282284417,540,102,38,7,22,0.322814982973893,0.368518518518519,0.236731843575419,0.385474860335196,0.245433789954338
"423","Kratz, Erik",15,107.166113681806,246,50,15,1,11,0.316411042944785,0.36239837398374,0.249056603773585,0.286792452830189,0.187116564417178
"424","Machado, Dixon",15,102.336190290135,385,85,20,3,4,0.281322957198444,0.315584415584416,0.216836734693878,0.292091836734694,0.185185185185185
"425","Gallagher, Cam",15,102.945670716441,383,67,27,1,10,0.280587121212121,0.313707571801567,0.182897862232779,0.362232779097387,0.198863636363636
"426","Grossman, Robbie",15,104.405474209338,1527,314,102,5,48,0.322878069797501,0.351407989521938,0.183679114799447,0.393914246196404,0.20925205361003
"427","Young Jr., Eric",15,100.27324508137,213,44,12,6,4,0.331788079470199,0.368544600938967,0.256756756756757,0.263513513513513,0.18936877076412
"428","Davidson, Matt",15,110.263284587992,533,113,35,4,46,0.329646936656282,0.476078799249531,0.343208496366685,0.358859698155394,0.353798126951093
"429","Moore, Dylan",15,106.00165262082,408,78,30,2,25,0.31,0.39656862745098,0.260457774269929,0.417521704814522,0.320855614973262
"430","Saladino, Tyler",15,105.395693590683,308,63,16,3,11,0.282352941176471,0.347727272727273,0.274025974025974,0.325974025974026,0.269473684210526
"431","Santana, Danny",15,106.976357534287,492,97,37,10,31,0.348135359116022,0.448272357723577,0.290416971470373,0.348939283101683,0.259002770083103
"432","Kelly, Carson",15,105.085669317738,733,123,40,2,31,0.295660377358491,0.316780354706685,0.216506500847937,0.369135104578858,0.199244570349386
"433","Cabrera, Asdrúbal",15,103.911048589776,1153,240,89,2,47,0.337012987012987,0.382176929748482,0.203843514070007,0.400480439258751,0.193308550185874
"434","Hoskins, Rhys",15,107.719763352447,1343,219,114,6,121,0.374347228584517,0.451600893521966,0.236382590565546,0.413604378420641,0.244710211591536
"435","Suzuki, Kurt",15,103.338676198548,902,172,54,0,45,0.339440203562341,0.355210643015521,0.183139534883721,0.37984496124031,0.138252756573367
"436","Parra, Gerardo",15,103.053564860076,805,197,49,4,19,0.326361957525392,0.366024844720497,0.199473684210526,0.376842105263158,0.176851851851852
"437","Encarnación, Edwin",15,109.352466669594,911,174,46,1,79,0.357427785419532,0.426015367727772,0.266990291262136,0.392457057505601,0.243801652892562
"438","Chang, Yu",15,108.170638693338,352,64,27,3,19,0.3,0.392045454545455,0.271784232365145,0.363070539419087,0.283054003724395
"439","Murphy, Sean",15,110.783065712911,776,135,76,2,51,0.362940670679278,0.420360824742268,0.238549618320611,0.391221374045802,0.214470284237726
"440","Piña, Manny",15,104.671879041763,659,127,47,2,32,0.330975877192982,0.37412746585736,0.200251098556183,0.386064030131827,0.189010989010989
"441","Gennett, Scooter",15,103.580404291896,725,181,57,6,38,0.374498997995992,0.454689655172414,0.195444915254237,0.420550847457627,0.20962888665998
"442","Velazquez, Andrew",15,103.01777659593,291,66,15,2,9,0.266666666666667,0.370103092783505,0.345982142857143,0.329241071428571,0.331236897274633
"443","Mayfield, Jack",15,103.733060644797,299,49,21,1,14,0.296596244131455,0.352341137123746,0.264827586206897,0.322758620689655,0.227699530516432
